ca_pa,status,raise_date,target_date,audit,source,ower,deatails,root_cause_details,root_cause_completed_by,root_cause_target_date,root_cause_closed_date,corrective_action_details,corrective_action_completed_by,corrective_action_target_date,corrective_action_closed_date,preventive_action_details,preventive_action_completed_by,preventive_action_target_date,preventive_action_closed_date,follow_up_details,follow_up_completed_by,follow_up_target_date,follow_up_closed_date,accesptance_action_details,accesptance_action_completed_by,accesptance_action_target_date,accesptance_action_closed_date,implementing_action_details,implementing_action_completed_by,implementing_action_target_date,implementing_action_closed_date,
CA/PA-995,Closed,3/10/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee","OM-A 7.3.5.10  FRMS (Yorğunluğa nəzarət və tənzimləmə sistemi) grupu ekspatların əmək qanunvericiliyi və iş saatları barədə məlumatdan xəbərsizdir, bu isə planlaşdırma və İnsan Resursları şöbələri ilə zəif ünsiyyətin göstəricisidir. Nəticədə, FRMS (Yorğunluğa nəzarət və tənzimləmə sistemi) ekspatların iş saatlarını effektiv şəkildə izləyə bilmir.",RM06-Kommunikasiya zəifliyi,"AZAL, Auditee",4/25/2025,6/20/2022,Ekspatların müqavilələrinin surəti  İR götürüldi və iş saatları OM-A qaydalarına əsasən həyata keçirilməsinə nəzarət edilir. ,"AZAL, Auditee",4/25/2025,,Ekspatların iş saatlarının planlaşdırılmasının OM-A qaydalarına əsasən həyata keçirilməsinə nəzarət gücləndirilib.,"AZAL, Auditee",4/25/2025,,,"Musayeva, Elvira",4/25/2025,4/25/2025,Accepted.,"Musayeva, Elvira",4/25/2025,4/25/2025,"Evidence will be uploaded to ""Properties"" part.","AZAL, Auditee",4/25/2025,5/5/2025,
CA/PA-996,Closed,3/10/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee","OM-A 7.3.5.10  FRMS (Yorğunluğa nəzarət və tənzimləmə sistemi)  qrupu, ORO.FTL.110 (a) və AHY- OM-A 7.2.1 (a) -da tələb olunduğu kimi 14 gün əvvəldən təqdim edilmiş cədvəl olmadığı üçün öncə (predictive) uçuş monitorinqini həyata keçirə bilmir.","TN05 - Təyyarə tipinin çox, sayının isə az olması üzünmüddətli planlaşdırma ilə bağlı çətinliklər yaradır.","AZAL, Auditee",4/25/2025,11/14/2022,Uçuş heyəti və təyyarə bələdçiləri üçün cədvəl 14 gün əvvəlcədən tərtib olunub və heyət vaxtında bu barədə məlumatlandırılir.,"AZAL, Auditee",4/25/2025,,"Gələcəkdə eyni tip HG-ların alınmasına/ icarəyə götürülməsinə üstünlük verərək, uçuş donanmasında HG tiplərinin azaldılması, sayının isə artırılmasına nail olunacaq.","AZAL, Auditee",4/25/2025,,,"Musayeva, Elvira",4/25/2025,4/25/2025,Accepted,"Musayeva, Elvira",4/25/2025,4/25/2025,14 days roster added  as evidence,"AZAL, Auditee",4/25/2025,4/20/2025,
CA/PA-997,Closed,3/10/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee","AAR-GM-009 TƏHLÜKƏLİ YÜKLƏRİN MÜLKİ HAVA GƏMİLƏRİ İLƏ DAŞINMASI QAYDASI  Təhlükəli yüklər üzrə fəaliyyət göstərən şəxslər (uçuş və kabinə heyəti istisna olunmaqla) təhlükəli yüklər üzrə təlim keçməsinə baxmayaraq, müvafiq təlim proqramları DMAA tərəfindən təsdiq olunmamışdır.",Təlim proqramlarının hazırlanması və təsdiqlənməsi prosesində idarəetmə və nəzarət mexanizmlərinin yetərsiz olması.,"AZAL, Auditee",4/25/2025,11/14/2022,"AAR-GM-009 (TƏHLÜKƏLİ YÜKLƏRİN MÜLKİ HAVA GƏMİLƏRİ İLƏ DAŞINMASI QAYDASI) tələblərinə əsasən, təhlükəli yüklər üzrə yekun təlim proqramı OM PART/D-də öz əksini tapacaq.","AZAL, Auditee",4/25/2025,,Təlim proqramlarının hazırlanması və təsdiqlənməsi üçün mütəmadi daxili monitorinq tədbirləri həyata keçiriləcək.,"AZAL, Auditee",4/25/2025,,Qəbul edildi.,"Amikishiyev, Elshan",4/25/2025,5/12/2025,Qəbul edildi. Sübut edici sənədlər əlavə edilsin.,"Amikishiyev, Elshan",4/25/2025,4/21/2025,"AAR-GM-009 (TƏHLÜKƏLİ YÜKLƏRİN MÜLKİ HAVA GƏMİLƏRİ İLƏ DAŞINMASI QAYDASI) tələblərinə əsasən, təhlükəli yüklər üzrə yekun təlim proqramı OM PART/D-də öz əksini tapmışdır. Qoşmaya istinad səhifələri əlavə edildi.","AZAL, Auditee",4/25/2025,4/25/2025,
CA/PA-981,Closed,3/7/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee",AAR-OPS11.ORO.FC.235-----Hər pilot oturacağından uçuşların yerinə yetirilməsi üçün təlim proqramı tələblərə cavab vermir.,"OP02-Unclear/unavailable/inadequate regulations, standard procedures","AZAL, Auditee",4/25/2025,11/15/2022,OM-D sənədinin 2.1.6 bəndi 'line check' yanlışlığını aradan qaldırmaq üçün yenilənəcək.,"AZAL, Auditee",4/25/2025,,OM-D sənədinin növbəti düzəlişlərində şərtlər daha diqqətli şəkildə keçirilir.,"AZAL, Auditee",4/25/2025,,,"Abdullayev, Emil",4/25/2025,4/25/2025,,"Abdullayev, Emil",4/25/2025,4/25/2025,,"AZAL, Auditee",4/25/2025,4/25/2025,
CA/PA-982,Closed,3/7/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee",AAR-OPS11.ORO.CC.115 Yoxlama zamanı təlimlərin keçirilməsi üçün nəzərdə tutulmuş təlim sinfində yerləşən avadanlıqlarda uyğunsuzluqlar aşkar edilmişdir. Eyni zamanda sinif otağının ümumi vəziyyəti qənaətbəxş deyil. Şəkillər əlavə olunur.,RM02 - Insufficient/defective equipment/facilities available,"AZAL, Auditee",4/25/2025,9/19/2022,Terminal 2 5-ci mərtəbədə təmir işləri yekunlaşdıqdan sonra kabin heyəti üçün yeni sinif otaqlarının ayrılması planlaşdırılıb.,"AZAL, Auditee",4/25/2025,,Sinif otaqları müvafiq avadanlıqlarla təmin edilərək qənaətbəxş vəziyyətə gətiriləcək.,"AZAL, Auditee",4/25/2025,,Follow up required,"Abdullayev, Emil",3/25/2025,4/25/2025,Sübutedici sənədi oxumaq mümkün deyil,"Abdullayev, Emil",4/25/2025,4/25/2025,Evidence added in property section.,"AZAL, Auditee",4/25/2025,6/8/2025,
CA/PA-983,Closed,3/10/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee",AAR-OPS11.ORO.CC.140 İllik təlim planı təqdim edilməyib.,"OP02-Unclear/unavailable/inadequate regulations, standard procedures","AZAL, Auditee",4/25/2025,9/23/2022,Kabin heyətinin təsdiqlənmiş tədris planı 28.02.2025-ci il tarixinə kimi təqdim olunacaq.,"AZAL, Auditee",4/25/2025,,Daxili prosedurlarda tədris planının qeyd edilməsi tələb kimi qeyd olunacaq,"AZAL, Auditee",4/25/2025,,,"Abdullayev, Emil",4/25/2025,4/25/2025,,"Abdullayev, Emil",4/25/2025,4/25/2025,,"AZAL, Auditee",4/25/2025,4/25/2025,
CA/PA-984,Closed,3/10/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee",SMS Manual-8.5    Yeni açılan marşrutlar üçün risklərin təhlili düzgün həyata keçirilmir və analiz aparılmır.,"DE01-İnadequate risk evaluation during operation, misjudging","AZAL, Auditee",4/25/2025,9/19/2022,Riskin qiymətləndirilməsi daha düzgün və dəqiq yerinə yetiriləcək.,"AZAL, Auditee",4/25/2025,,"Risklərin qiymətləndirilməsini aparan əməkdaşlar ""Risklərin qiymətləndirilməsi"" təliminə keçirilib.","AZAL, Auditee",4/25/2025,,,"Gasimov, Etibar N",4/25/2025,4/25/2025,Kindly provide detailed mitigation actions as well as all the documents referenced in the attached file.,"Gasimov, Etibar N",4/25/2025,4/25/2025,"Evidence will be uploaded to ""Properties"" part.","AZAL, Auditee",4/25/2025,4/25/2025,
CA/PA-985,Closed,3/10/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee","AHY SMS MANUAL  Safety policy 4.1.1.
4.1. 4.1.2 /AAR-OPS-011 - ORO.FTL.250 / OM-A -7.3.5.10 /OM-A 3.2/ SMS Manual 8.5 İstismarçı tərəfindən uçuşların təhlükəsizliyi siyasətində göstərilən müvafiq qaydalara əməl edilmir:1) Proaktiv idarəetmə tədbirləri, o cümlədən müvafiq təşəbbüslərin təşviqi və dəstəklənməsi həyata keçirilmir.3) Effektiv təhlükəsizlik hesabatı və ünsiyyəti- IQ SMS proqramının düzgün dəyişikliklərin idarə edilməsi (Management of change- (MOC))olmayıb.4) Təlimlər və hesabat prosesləri lazımi şəkildə qiymətləndirilməmişdir, nəticədə işçilərin yalnız 7%-i təlimi uğurla başa vurmuş, 93%-i isə IQ SMS sistemindən istifadə etmək üçün təlim keçməmişdir. Proqramın tətbiqi ilə bağlı elektron məktub göndərilmişdir. Bundan əlavə, işçilərin proqramla tanış olması və tələb olunan CBT sertifikatını alması üçün heç bir son tarix (deadline) müəyyən edilməmişdir.
5) İstismarçının yeni proqram keçidi ilə əlaqədar sərbəst hesabat formasının (o cümlədən, kağız variantında hesabatların) təqdim olunması imkanı mövcud deyil.
6) Təhlükəsizlik strategiyalarının və proseslərinin effektiv həyata keçirilməsi üçün kifayət qədər ixtisaslı və təlim keçmiş kadr resursları çatışmır.7) Təhlükəsizlik idarəetmə sistemi (SMS) və həmçinin yerüstü personal üçün yorğunluq risklərinin idarə olunması sistemi (FRMS) üzrə təlimlər kvalifikasiyası olmayan kadrlar tərəfindən keçirilib.8) TRAINING tətbiqi planı tərtib edilməyib və təsdiqlənməyib.
9) Baş menecerlər Təhlükəsizlik idarəetmə sistemi (SMS) üzrə təlimi kvalifikasiyası olmayan təlimçi tərəfindən keçmişdir.10) Risklərin qiymətləndirilməsi və təhlükələrin (hazards) müəyyən edilməsi düzgün aparılmır11) Q-pulse sistemindən IQSMS sisteminə məlumat bazasının inteqrasiyası prosesinin başlanğıcında məlumat itkisi riski üzrə qiymətləndirmə aparılmamışdır.12) Istismarçı yeni İQSMS sisteminə keçdikdən sonra DMAA-nın hesabatları alıb-almadığına əmin olunmayıb","1)DE01 Əməliyyat zamanı riskin qeyri-adekvat qiymətləndirilməsi, düzgün qiymətləndirməmə                                                                                                                             
2) IS05 – Inadequate supervision (sənədlərə zəif nəzarət).                                                                                           
3)IS05 – Inadequate supervision (sənədlərə zəif nəzarət). OP04 Qeyri-adekvat təlim                                                                                                                                                            
4)DE01-İnadequate risk evaluation during operation, misjudging                                                                                                                                                  
5) IS05 – Inadequate supervision (sənədlərə zəif nəzarət).                                                
6)IS05 – Inadequate supervision (sənədlərə zəif nəzarət).                                                                                                                                                
7)  DE01-İnadequate risk evaluation during operation, misjudging                                                                                                                                                        
8)DE01 Əməliyyat zamanı riskin qeyri-adekvat qiymətləndirilməsi, düzgün qiymətləndirməmə                                                                                                                               
9)PC07 - Misperception of operational conditions, incorrect interpretation and understanding (audit zamanı anlaşılmazlıq)","AZAL, Auditee",4/25/2025,None,"1)Management of change prossesi  yaradılacaq. Bütün risklər və təhlükələr orda əks olunacaqlar. Sertifikatın alması üçün son tarix müəyyən olunacaq.                                                                                  
2)Reportlar Q-Pulse sistemində kağız formatda və ya şifahi formatda qəbul olunurdular. SMS manualın 10.3 bəndinə uyğun qəbul olunurlar.                                                                             
3)Riskin qiymətləndirilməsi daha düzgün və dəqiq yerinə yetiriləcək.                                                                                                     
4)Riskin qiymətləndirilməsi daha düzgün və dəqiq yerinə yetiriləcək.                                                                                             
5)Təlim keçməyən kadrlar təlimlərə cəlb olunacaq                               
6) Training tətbiqi planı tərtib ediləcək                                                                                
7) Riskin qiymətləndirilməsi daha düzgün və dəqiq yerinə yetiriləcək.          
8) Management of change  yenidən baxılacaq                                                      
9) Audit zamanı dəqiq cavab verilməmişdir.  Bütün məlumatlar DMAA çatdırılır.
Azərbaycan Hava Yollarının Uçuşların Təhlükəsizlik idarəsi daimi MOR (məcburi hadisə hesabatları) DMAA-ya göndərir. SMS manualın 10 cu fəslində qeyd edilmişdir.                              ","AZAL, Auditee",4/25/2025,,"1)Gələcəkdə sistemden yeni sistemə keçid daha düzgün aparılacaq. MOClar daha çox riskləri əhatə edecək. Son tarix 18.04.2025-ci il.                                               
2)Kağız formasında reportlar yenidən bərpa olunub və UTİ əməkdaşları tərəfindən tətbiq olunur. İQ-SMS də tətbiq olunacaq. SMS manualda bu proses  barədə dəyişikliklər olunub.                                                                
3)Risklərin qiymətləndirilməsini aparan əməkdaşlar ""Risklərin qiymətləndirilməsi"" təliminə planlaşdırılıb. 22.04.2025-il tarixinə kimi                                                          
4) Nöqsan dəqiqləşdirildikdən sonra qabaqlayıcı tədbir görüləcək.Risklərin qiymətləndirilməsini aparan əməkdaşlar ""Risklərin qiymətləndirilməsi"" təliminə planlaşdırılıb. 22.04.2025-il tarixinə kimi                                                                                                    5) Təlimlər planlaşdırılımışdır, təsdiq alınmışdır. 
lşlərə nəzarət təlimlər üzrə koordinator cəlb edilib                                                               
6) Sənədlərə nəzarət və təlimlərə nəzarət gücləndirilib. Təlimlər planlaşdırılımışdır, təsdiq alınmışdır.                                                            
7)Risklərin qiymətləndirilməsini aparan əməkdaşlar ""Risklərin qiymətləndirilməsi"" təliminə planlaşdırılıb. 22.04.2025-il tarixinə kimi                                                                      
8)Biz Qpulse ilə müqavilənin uzadılması barədə sənədi əlavə edəcəyik. Həmçinin, İT departamenti ilə Qpulse-dan İQSMS-ə məlumatların köçürülməsi prosesini detallı şəkildə izah edəcəyik (hansı formatda və nə qədər vaxt tələb olunacaq)                                                                                   
9) Aydınlaşdırılmışdır. DMAA ilə yazışmalar aparılıb və hesabatlar İQSMS vasitəsilə göndərilir.Buna nəzarət dahada gücləndiriləcək                              ","AZAL, Auditee",4/25/2025,,,"Musayeva, Elvira",4/25/2025,4/25/2025,Accepted,"Gasimov, Etibar N",4/25/2025,4/25/2025,"Evidence will be uploaded to ""Properties"" part.","AZAL, Auditee",4/25/2025,5/5/2025,
CA/PA-986,Closed,3/10/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee","AAR-SMS-001-2.1.1(b) 1) Ştat vahidlərinin qiymətləndirilməsi təqdim edilməyib. Yalnız pilotlara olan tələbatın ödənilməsi ilə bağlı bir nümunə təqdim edilib. 
                                               2) Maliyyə qiymətləndirilməsi təqdim olunmayıb. 
                                                              3)  Kadrların peşəkarlığı ilə bağlı məsələlər əlavə diqqət tələb edir",IS05 – Inadequate supervision (sənədlərə zəif nəzarət).,"AZAL, Auditee",4/25/2025,3/6/2025,SMS Manuala lazımı dəyişikliklər edilib.,"AZAL, Auditee",4/25/2025,,Sənədlərə nəzarət gücləndiriləcək. Keyfiyyətin Təminatı İdarəsi auditlər zamanı sənədlərin yoxlanmasına xüsusi diqqət yetirəcək.,"AZAL, Auditee",4/25/2025,,,"Gasimov, Etibar N",4/25/2025,4/25/2025,"1) Please provide the procedure for candidate selection to various safety-critical positions.


2) Please provide the organization's financial assessment related to safety performance.","Gasimov, Etibar N",4/25/2025,4/25/2025,"Evidence is uploaded to ""Properties"" part.","AZAL, Auditee",4/25/2025,4/25/2025,
CA/PA-987,Closed,3/10/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee","AAR-SMS-001-2.1.1(b) 2.4.1 (a),(b) Təlim şöbəsinin əməkdaşları təhlükə (hazard database) və risk qiymətləndirmə proseslərini təqdim edə bilmədilər, çünki iş vaxtı və MOC prosesi ilə bağlı kifayət qədər kvalifikasiyaya malik deyillər","IS04 - Failed to provide/ensure adequate training
IS05 – Inadequate supervision (sənədlərə zəif nəzarət)","AZAL, Auditee",4/25/2025,3/6/2025,SMS Manualın əsasında yenidən təlim keçirilməyi planlaşdırılıb.,"AZAL, Auditee",4/25/2025,,Təlim sənədlərinə dair nəzarət gücləndiriləcək.,"AZAL, Auditee",4/25/2025,,,"Musayeva, Elvira",4/25/2025,4/25/2025,"Accepted.
Please provide with example of MOC","Musayeva, Elvira",4/25/2025,4/25/2025,"Evidence will be uploaded to ""Properties"" part.","AZAL, Auditee",4/25/2025,5/2/2025,
CA/PA-988,Closed,3/10/2025,4/25/2025,AUD573 - Azerbaijan Airlines AOC 16-24.12.2024,AZAL Audit/Inspection,"AZAL, Auditee","AAR-SMS-001-2.1.1(b) Uçuşların İstehsalı İdarəsinin Planlaşdırma şöbəsi üçün təlim xarici təlimatçı tərəfindən keçirilib, lakin onun ixtisasını təsdiqləyən sertifikat yoxlama zamanı təqdim edilməyib.","IS04 - Failed to provide/ensure adequate training
IS05 – Inadequate supervision (sənədlərə zəif nəzarət)","AZAL, Auditee",4/25/2025,4/3/2025,Uçuşların İstehsalı İdarəsinin Planlaşdırma Şöbəsinin əməkdaşlarına lazımi təlim keçiriləcək.,"AZAL, Auditee",4/25/2025,,Təlim sənədlərinə dair nəzarət gücləndiriləcək.,"AZAL, Auditee",4/25/2025,,Closed,"Gasimov, Etibar N",4/25/2025,4/25/2025,,"Gasimov, Etibar N",4/25/2025,4/25/2025,,"AZAL, Auditee",4/25/2025,4/25/2025,
CA/PA-1031,Closed,5/19/2025,7/19/2025,"AUD546 - Azerbaijan Airlines (AZ.CAMO.0001), Flight Recorder Serviceability Survey Airbus A319/A320/A340)",AZAL Audit/Inspection,"AZAL, Auditee","AAR-M, M.302
  1. CVR ULB OPC AMP Task 237135-02-1, with an interval of 36 months, was removed from the AMP during the most recent revision. However, the Flight Data Recorder (FDR) is equipped with the same ULB part number, and the 36-month interval task (313300-03-1) is included in the AMP.
  2. The ULB part number is listed as ""DK-120"" in the AMP under the ""Time Controlled Items"" section; however, the correct part number required is DK120-90.","1. The CVR ULB OPC AMP Task 237135-02-1 was removed from the AMP in accordance with the latest MPD (Maintenance Planning Document) revision. However, coordination with the FDR group did not occur, resulting in a failure to recognize that the same ULB part number was still used for the FDR, and required maintenance tracking under a separate AMP task (313300-03-1).

2. Insufficient Cross-Verification: Lack of adequate cross-checking with OEM (Original Equipment Manufacturer) specifications and/or the IPC (Illustrated Parts Catalogue).","AZAL, Auditee",5/26/2025,3/6/2025,"1. AMP Task 237135-02-1 for the CVR ULB will be reinstated in accordance with the current version of the MPD and submitted to the SCAA by June 15, 2025.

2. The AMP will be updated to reflect the correct ULB part number, DK120-90, in the “Time Controlled Items” section and submitted to the SCAA by June 15, 2025..","AZAL, Auditee",5/26/2025,5/27/2025,"1. Establish a mandatory communication step between all stakeholder groups (e.g., CVR/FDR teams, planning, CMD) during AMP changes.

2. Periodic AMP Review: Schedule regular reviews of the AMP to ensure continued accuracy and alignment with latest manufacturer documentation.","AZAL, Auditee",5/26/2025,5/27/2025,Supporting documentation confirming the completion of the actions has been submitted.,"Latifov, Fuad",6/15/2025,7/22/2025,Accepted,"Latifov, Fuad",5/26/2025,5/29/2025,"AMP (AZ-A320-MP-001) rev.15 was revised to add:
1. AMP Task 237135-02-1 for the CVR ULB
2. DK120-90 in part number field of “Time Controlled Items” section","AZAL, Auditee",6/15/2025,7/15/2025,
CA/PA-1001,Closed,3/17/2025,4/30/2025,"AUD556 - Azerbaijan Airlines (CAMO-001), Airbus A319/A320/A340 (Ramp Inspection)",AZAL Audit/Inspection,"AZAL, Auditee",Cabin crew seats AFT section (LH & RH) are not good condition (evidence attached).,"TN01 - Inappropriate/poor design of equipment, tool, parts, material","AZAL, Auditee",4/30/2025,3/6/2025,Part Request form will be issued to order deficient parts by April 2025 with estimated timeframe for parts delivery until end of May 2025.,"AZAL, Auditee",4/30/2025,,Supervision of A/C interior conditions will be strengthened by CAMO and Compliance Monitoring Department during scheduled and unscheduled audits/inspections.,"AZAL, Auditee",3/19/2025,,"Sübutedici sənədlər təqdim edilmişdir.
Operatora email (CA_PA-1001) göndərilmişdir ki, üzlük dəyişdirildikdən sonra DMAA-ya məlumat təqdim etsinlər.","Nasirov, Namig",4/18/2025,4/16/2025,Accepted.,"Nasirov, Namig",4/11/2025,4/11/2025,Part Request form was issued to order deficient parts on 03.04.2025 with estimated timeframe for parts delivery until end of May 2025 (file attached).,"AZAL, Auditee",4/14/2025,4/11/2025,
CA/PA-1002,Closed,3/17/2025,4/30/2025,"AUD556 - Azerbaijan Airlines (CAMO-001), Airbus A319/A320/A340 (Ramp Inspection)",AZAL Audit/Inspection,"AZAL, Auditee",ELT 15 HEX code reflected under India (419) in the Cospas-Sarsat portal (evidence attached).,TN03 - Inappropriate interface design,"AZAL, Auditee",4/28/2025,4/3/2025,Part Request form will be issued to order deficient parts by 15 April 2025 with estimated timeframe for parts delivery until end of April 2025.,"AZAL, Auditee",3/19/2025,,AHY-CAMO-NOTICE-010 will be issued with guidance to AHY Engineering Section on ELTs installation.,"AZAL, Auditee",4/11/2025,,Sübutedici sənədlər təqdim edilmişdir.,"Nasirov, Namig",4/16/2025,4/16/2025,Accepted,"Nasirov, Namig",4/14/2025,4/14/2025,"Part Request Form #AHY00444 was issued to order deficient parts on 09.04.2025 (file attached). 

AHY-CAMO-NOTICE-010 was issued on 14.04.2025 with guidance to AHY Engineering Section on ELTs installation (file attached).","AZAL, Auditee",4/16/2025,4/16/2025,
CA/PA-1028,Closed,5/19/2025,7/19/2025,"AUD546 - Azerbaijan Airlines (AZ.CAMO.0001), Flight Recorder Serviceability Survey Airbus A319/A320/A340)",AZAL Audit/Inspection,"AZAL, Auditee","AAR-FR, Appendix 1, 2.3.2
  The operator does not maintain document concerning parameter allocation and conversion equations - Airbus introduced a new data frame format - Flight Recorder Electronic Documentation (FRED) - in June 2024, which replaced the previous FDRPL format. This change has not been implemented by the operator.",Lack of clear guidelines and/or procedures followed by the Technical Library.,"AZAL, Auditee",5/26/2025,4/7/2025,The new format of the Airbus FRED was downloaded from the Airbus website and shared with the FDR group.,"AZAL, Auditee",5/26/2025,,"Document revisions will be reviewed by the Technical Library on a weekly basis, using reports obtained from the Airbus website","AZAL, Auditee",5/26/2025,,Supporting documentation confirming the completion of the actions has been submitted.,"Latifov, Fuad",6/11/2025,6/18/2025,Accepted,"Latifov, Fuad",6/3/2025,6/3/2025,Report and email from Librarian related to the status of the technical documentations were attached. ,"AZAL, Auditee",6/11/2025,6/11/2025,
CA/PA-1029,Closed,5/19/2025,7/19/2025,"AUD546 - Azerbaijan Airlines (AZ.CAMO.0001), Flight Recorder Serviceability Survey Airbus A319/A320/A340)",AZAL Audit/Inspection,"AZAL, Auditee","AAR-FR, Appendix 1, 7.2
  The operator's Flight Recorder Serviceability Report (4K-AZ03 -2024) is dated 30.04.2024, which is significantly later than the date of the associated Readout Report 4KAZ03-2024-GD 00362063 (17.02.2024).","CM06 - Poor communication of critical information and poor decision making
(After the flight data analysis was completed, the flight data analysis group reported a failure of radio altimeter#2 on 06.03.2024 via email. The serviceability report was generated on 30.04.2024 due to troubleshooting of the radio altimeter was ongoing till 29.04.2024).","AZAL, Auditee",5/26/2025,4/7/2025,"MEL Extension Approval Forms will be provided in regard to the affected part (Radio Altimeter #2), which was reported as unserviceable on 06.03.2024 via email.
Personnel responsible for provision of Flight Data Recorder Readout Report was unaware of corresponding MEL which led to extended due date for generation of Flight Recorder Serviceability Report. Personnel responsible for FDR analysis will be added to the distribution list for Fleet Condition acknowledgement. ","AZAL, Auditee",5/26/2025,,Received information related to data from Flight Recorders will be double checked by CAMO against associated fleet condition.,"AZAL, Auditee",5/26/2025,,Supporting documentation confirming the completion of the actions has been submitted.,"Latifov, Fuad",7/11/2025,7/10/2025,Accepted,"Latifov, Fuad",5/26/2025,7/8/2025,The personnel responsible for FDR analysis have been added to the CAD email group and now receive the Fleet Condition emails on a daily basis.,"AZAL, Auditee",7/11/2025,7/10/2025,
CA/PA-1030,Closed,5/19/2025,7/19/2025,"AUD546 - Azerbaijan Airlines (AZ.CAMO.0001), Flight Recorder Serviceability Survey Airbus A319/A320/A340)",AZAL Audit/Inspection,"AZAL, Auditee","AAR-FR, Appendix 1, 7.3
  1. Flight Data Recorder Readout Report (Ref. 4KAZ03-2024-GD 00362063):
      1.1. The aircraft model is not fully specified in the corresponding column.
      1.2. The FDR part number was indicated in the column intended for the FDR model.
  2. The Cockpit Voice Recorder Replay Evaluation Report #401 contains no input in the “Comments” section.",Insufficient attentiveness of flight data analysis staff during preparation of the reports,"AZAL, Auditee",5/26/2025,4/7/2025,"1.1. Complete information about the aircraft model will be added to the corresponding column;
1.2. FDR model will be indicated in the correct column;
2. ""No comments"" or ""N/A"" word will be added to “Comments” section.","AZAL, Auditee",5/26/2025,,An email will be sent to flight data analysis staff requiring them to be extremely careful during preparation of the Flight Data Recorder Readout and Cockpit Voice Recorder Replay Evaluation reports.,"AZAL, Auditee",5/26/2025,,Supporting documentation confirming the completion of the actions has been submitted.,"Latifov, Fuad",7/8/2025,7/15/2025,Accepted,"Latifov, Fuad",5/26/2025,7/1/2025,"1. Flight Data Recorder Readout Report #4KAZ03-2024-GD 00362063 was corrected (files attached):
1.1 Aircraft model was be added to the corresponding column 
1.2 FDR model was indicated in the correct column.
2. Cockpit Voice Recorder Replay Evaluation Report #457 was corrected (file attached):
""No comments"" was added to “Comments” section.
3. Notification letter was sent to flight data analysis staff specifying identified occurrences and necessity to be more accurate (file attached). ","AZAL, Auditee",7/8/2025,7/15/2025,
CA/PA-1003,Closed,3/17/2025,4/30/2025,"AUD556 - Azerbaijan Airlines (CAMO-001), Airbus A319/A320/A340 (Ramp Inspection)",AZAL Audit/Inspection,"AZAL, Auditee",There wasn’t label to reflect expire date on the Oxygen Bottle S/N: 45416DT (evidence attached).,TN03 - Inappropriate interface design,"AZAL, Auditee",4/30/2025,4/7/2025,Non routine work card will be issued with description of work performed to eliminate defect by April 2025.,"AZAL, Auditee",4/30/2025,,Suppliers will be notified to provide oxygen balloons with necessary labelling. The requirement which will monitored by CAMO and Compliance Monitoring Department during scheduled/unscheduled inspections/audits.,"AZAL, Auditee",4/30/2025,,Sübutedici sənədlər təqdim olunmuşdur.,"Nasirov, Namig",4/18/2025,4/21/2025,Accepted.,"Nasirov, Namig",4/11/2025,4/11/2025,Non routine work card (NRC-25-3005) was issued with description of work performed to eliminate defect on 03.04.2025 (file attached).,"AZAL, Auditee",4/14/2025,4/11/2025,
CA/PA-1004,Closed,3/17/2025,4/30/2025,"AUD557 - Azerbaijan Airlines (CAMO-001), Airbus A319/A320/A340(ACAM In-depth Survey)",AZAL Audit/Inspection,"AZAL, Auditee","References: 21.31, 21.41, 21.61, 21.90, M.304, M.305, M.401.
It was identified during the review of the modification records that the MOD Status Report provided is unclear and does not include the necessary signature and approval from CAMO. The MOD status should clearly indicate the completion and approval status of modifications and should be signed off by CAMO to ensure compliance with regulatory requirements.
See attached file for Example of Recommended MOD Status Format.",Inappropriate record design. ,"AZAL, Auditee",3/19/2025,4/7/2025,The corrected MOD status will be submitted by 15 April 2025.,"AZAL, Auditee",3/19/2025,,"Engineering staff will be notified of the procedures for submitting statements and/or documents by April 15, 2025.","AZAL, Auditee",3/19/2025,,Sübutedici sənədlər təqdim olunmuşdur.,"Nasirov, Namig",4/22/2025,4/21/2025,Accepted,"Nasirov, Namig",4/11/2025,4/11/2025,The revised MOD status form is attached. ,"AZAL, Auditee",4/15/2025,4/21/2025,
